utterance,intent,category,tags
I don't know what I need to do to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I want help trying to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I have a trouble trying to change the address,change_shipping_address,SHIPPING_ADDRESS,BL
the address has changed can i edit it,change_shipping_address,SHIPPING_ADDRESS,BCILQ
I need help changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I want to know about changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
can you help me change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI
I do not know how I can change the shipping address,change_shipping_address,SHIPPING_ADDRESS,BE
I would like to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,BP
information about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B
I cannot change the shipping address,change_shipping_address,SHIPPING_ADDRESS,BE
help me to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I want help to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
could you tell me about changing the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP
I try to correct my shipping address,change_shipping_address,SHIPPING_ADDRESS,BL
can you tell me about changing my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI
I would like information about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,BP
i want assistance to modify the address,change_shipping_address,SHIPPING_ADDRESS,BLQ
help with a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B
I would like information about changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,BP
I want assistance to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
supports trying to update my shipping address,change_shipping_address,SHIPPING_ADDRESS,BLM
I cannot modify the  shipping address,change_shipping_address,SHIPPING_ADDRESS,BELZ
I do not know how I could change the shipping address,change_shipping_address,SHIPPING_ADDRESS,BEP
I don't know what I have to do to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
i have an issue trying to edit my goddamn delivery address,change_shipping_address,SHIPPING_ADDRESS,BLQW
I need help to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
could I change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP
how could I get information about a shipping address change?,change_shipping_address,SHIPPING_ADDRESS,BIP
I need help to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I want to check in what cases can I ask to be refunded,check_refund_policy,REFUND,B
I try to check in what cases can I ask for refunds,check_refund_policy,REFUND,B
help me checking how long refunds usually take,check_refund_policy,REFUND,B
can I check under what circumstances can I ask for refunds?,check_refund_policy,REFUND,BI
can you help me to check your refund policy?,check_refund_policy,REFUND,BI
assistance to check your money back policy,check_refund_policy,REFUND,B
check under what circumstances can I ask to be refunded,check_refund_policy,REFUND,B
can you show me in what cases can I ask for refunds?,check_refund_policy,REFUND,BI
help checking in what cases can I ask to be refunded,check_refund_policy,REFUND,B
how could I check your refund policy?,check_refund_policy,REFUND,BIP
help checking in what cases can I ask for a refund,check_refund_policy,REFUND,B
help me check in what cases can I ask to be refunded,check_refund_policy,REFUND,B
in what cases can I ask to be refunded?,check_refund_policy,REFUND,BI
I need help checking in what cases can I ask for refunds,check_refund_policy,REFUND,B
check in what cases can I ask to be refunded,check_refund_policy,REFUND,B
assistance checking in what cases can I ask for a refund,check_refund_policy,REFUND,B
assistance to check in what cases can I ask for a refund,check_refund_policy,REFUND,B
I don't know how I can check your money back policy,check_refund_policy,REFUND,B
could you help me checking how long refunds take?,check_refund_policy,REFUND,BIP
I need assistance to check how long refunds usually take,check_refund_policy,REFUND,B
I would like to check your money back policy,check_refund_policy,REFUND,BP
I am trying to check in what cases can I ask for a refund,check_refund_policy,REFUND,B
where to check your refund policy?,check_refund_policy,REFUND,BI
help me checking in what cases can I ask to be refunded,check_refund_policy,REFUND,B
could you show me your money back policy?,check_refund_policy,REFUND,BIP
I have got to check your money back policy,check_refund_policy,REFUND,B
what do I have to do to check your refund policy?,check_refund_policy,REFUND,BI
in what cases can I ask for refunds?,check_refund_policy,REFUND,BI
assistance to check in what cases can I ask to be refunded,check_refund_policy,REFUND,B
could I check in what cases can I ask to be refunded?,check_refund_policy,REFUND,BIP
I don't know what I need to do to check your refund policy,check_refund_policy,REFUND,B
can I check in what cases can I ask for my money back?,check_refund_policy,REFUND,BI
how do I check your money back policy?,check_refund_policy,REFUND,BI
can you show me how long refunds usually take?,check_refund_policy,REFUND,BI
will you show me in what cases can I ask for refunds?,check_refund_policy,REFUND,BIP
could I check in what cases can I ask for a refund?,check_refund_policy,REFUND,BIP
I want assistance checking your refund policy,check_refund_policy,REFUND,B
help me file a complaint against your business,complaint,FEEDBACK,B
I call to file a complaint against your business,complaint,FEEDBACK,B
I need help to file a complaint against your business,complaint,FEEDBACK,B
can you help  me making a claim against your business?,complaint,FEEDBACK,BILZ
I need assistance to file a complaint against your business,complaint,FEEDBACK,B
i do not know how to make a fucking consumer reclamation,complaint,FEEDBACK,BELQW
I'm not happy wih ur service help me to file a claim,complaint,FEEDBACK,BCELQZ
i want assistance to lodge a customer claim,complaint,FEEDBACK,BLQ
i need help lodging a claim against ur organization,complaint,FEEDBACK,BLQ
"I am not happy with your work, lodge a complaint",complaint,FEEDBACK,BCEL
help making a consumer complaint against your company,complaint,FEEDBACK,BL
i need assistance to file a complaint against ur company,complaint,FEEDBACK,BLQ
I want to make a complaint against your company,complaint,FEEDBACK,BL
can I make a complaint against your business?,complaint,FEEDBACK,BIL
want assistance making a damn customer complaint,complaint,FEEDBACK,BLQW
I don't know what I need to do to file a complaint,complaint,FEEDBACK,B
can you help me file a complaint?,complaint,FEEDBACK,BI
need assistance to make a consumer claim,complaint,FEEDBACK,BLQ
help to file a consumer claim against your company,complaint,FEEDBACK,BL
I am calling to file a complaint,complaint,FEEDBACK,B
help me filing a consumer complaint against ur company,complaint,FEEDBACK,BLQ
help me filing a complaint,complaint,FEEDBACK,B
maing claim,complaint,FEEDBACK,BLZ
could you show me what options for delivery I can choose?,delivery_options,DELIVERY,BIMP
I would like to check what delivery options I have,delivery_options,DELIVERY,BMP
I am calling to check what delivery options I have,delivery_options,DELIVERY,BM
I don't know how I can check what delivery options you offer,delivery_options,DELIVERY,BM
I need information about the delivery options,delivery_options,DELIVERY,B
show me what delivery options you offer,delivery_options,DELIVERY,BM
I want to check what options for delivery I have,delivery_options,DELIVERY,BM
help checking the delivery options,delivery_options,DELIVERY,B
I want help checking the delivery options,delivery_options,DELIVERY,B
could I check what options for delivery are available?,delivery_options,DELIVERY,BIMP
I call to check what delivery options are available,delivery_options,DELIVERY,BM
checking the options for delivery,delivery_options,DELIVERY,B
I want help checking the options for delivery,delivery_options,DELIVERY,B
can you help me check what options for delivery I have?,delivery_options,DELIVERY,BIM
I need to check what options for delivery are available,delivery_options,DELIVERY,BM
assistance checking what delivery options I can choose,delivery_options,DELIVERY,BM
assistance to check what options for delivery are available,delivery_options,DELIVERY,BM
help me checking the delivery options,delivery_options,DELIVERY,B
where do I check what options for delivery I have?,delivery_options,DELIVERY,BIM
can you show me what delivery options I have?,delivery_options,DELIVERY,BIM
I do not know how I could check the options for delivery,delivery_options,DELIVERY,BEP
where could I check what delivery options I have?,delivery_options,DELIVERY,BIMP
help me to check what delivery options are available,delivery_options,DELIVERY,BM
how could I get information about the options for delivery?,delivery_options,DELIVERY,BIP
tell me more about the delivery options,delivery_options,DELIVERY,B
could you show me what delivery options are available?,delivery_options,DELIVERY,BIMP
assistance to check what delivery options I have,delivery_options,DELIVERY,BM
where could I check the delivery options?,delivery_options,DELIVERY,BIP
can I check what delivery options I can choose?,delivery_options,DELIVERY,BIM
I am calling to check the options for delivery,delivery_options,DELIVERY,B
could you help me checking what options for delivery I have?,delivery_options,DELIVERY,BIMP
will you show me what delivery options I can choose?,delivery_options,DELIVERY,BIMP
I want help to check how long the delivery takes,delivery_period,DELIVERY,B
where could I check when my item is going to arrive?,delivery_period,DELIVERY,BIP
where to check how long the delivery takes?,delivery_period,DELIVERY,BI
I am trying to check how long the delivery takes,delivery_period,DELIVERY,B
I need help to check how soon can I expect the item,delivery_period,DELIVERY,B
give me information about the delivery period,delivery_period,DELIVERY,B
I am calling to check how soon can I expect the delivery,delivery_period,DELIVERY,B
I need information about the delivery period,delivery_period,DELIVERY,B
will you show me how long the delivery takes?,delivery_period,DELIVERY,BIP
I am trying to find information about delivery periods,delivery_period,DELIVERY,BE
I need help to check when will my item arrive,delivery_period,DELIVERY,B
how could I check when will my item arrive?,delivery_period,DELIVERY,BIP
where can I get information about delivery periods?,delivery_period,DELIVERY,BI
I am trying to find delivery periods,delivery_period,DELIVERY,BE
how long does the delivery take?,delivery_period,DELIVERY,BI
show me when will my item arrive,delivery_period,DELIVERY,B
I don't know how I could check when will my item arrive,delivery_period,DELIVERY,BP
how to check when my item is going to arrive?,delivery_period,DELIVERY,BI
I want to know about delivery periods,delivery_period,DELIVERY,B
could you show me when my item is going to arrive?,delivery_period,DELIVERY,BIP
could you help me to check how long the delivery takes?,delivery_period,DELIVERY,BIP
can you help me check when my delivery is going to arrive?,delivery_period,DELIVERY,BI
how to check when will my item arrive?,delivery_period,DELIVERY,BI
assistance to check how soon can I expect the delivery,delivery_period,DELIVERY,B
show me how soon can I expect the delivery,delivery_period,DELIVERY,B
information about the delivery period,delivery_period,DELIVERY,B
how can I check when my item is going to arrive?,delivery_period,DELIVERY,BI
could you help me check how soon can I expect the item?,delivery_period,DELIVERY,BIP
I need help checking when my item is going to arrive,delivery_period,DELIVERY,B
tell me more about the delivery periods,delivery_period,DELIVERY,BM
show me how soon can I expect the item,delivery_period,DELIVERY,B
how to check when my delivery is going to arrive?,delivery_period,DELIVERY,BI
I want assistance checking how long the delivery takes,delivery_period,DELIVERY,B
where can I find information about the delivery period?,delivery_period,DELIVERY,BI
I want to know about the delivery periods,delivery_period,DELIVERY,BM
I would like information about the delivery periods,delivery_period,DELIVERY,BMP
I do not know how to check when my item is going to arrive,delivery_period,DELIVERY,BE
what is the delivery period for this order?,delivery_period,DELIVERY,BI
help me getting a refund,get_refund,REFUND,B
I need a refund,get_refund,REFUND,B
help me getting a refund of money,get_refund,REFUND,B
I want assistance getting refunds of money,get_refund,REFUND,BM
how can I get a refund of money?,get_refund,REFUND,BI
I need help getting a refund,get_refund,REFUND,B
I want help to get a refund of money,get_refund,REFUND,B
could you help me get my money back?,get_refund,REFUND,BIP
I don't know what I have to do to get a refund of money,get_refund,REFUND,B
assistance to get a refund,get_refund,REFUND,B
I don't know what I have to do to get my money back,get_refund,REFUND,B
I do not know what I have to do to get my money back,get_refund,REFUND,BE
I do not know how I could get refunds,get_refund,REFUND,BEMP
assistance to get refunds,get_refund,REFUND,BM
help me get a refund,get_refund,REFUND,B
I don't know how I can get my money back,get_refund,REFUND,B
I want assistance getting a refund of money,get_refund,REFUND,B
I do not know how I could get a refund of money,get_refund,REFUND,BEP
how do I get a refund?,get_refund,REFUND,BI
could you help me getting refunds?,get_refund,REFUND,BIMP
when will I get a refund?,get_refund,REFUND,BI
I don't know how I can get a refund,get_refund,REFUND,B
I want to get refunds,get_refund,REFUND,BM
I am trying to get my money back,get_refund,REFUND,B
I don't know what to do to get refunds of money,get_refund,REFUND,BM
I need help getting refunds of money,get_refund,REFUND,BM
I don't know what to do to get my money back,get_refund,REFUND,B
could you help me get refunds?,get_refund,REFUND,BIMP
issues with payments,payment_issue,PAYMENT,BKM
I need help solving issues with payments,payment_issue,PAYMENT,BM
I need assistance solving payment issues,payment_issue,PAYMENT,BM
help me to report an issue with payments,payment_issue,PAYMENT,BM
could you help me to report an issue with payment?,payment_issue,PAYMENT,BIP
is it possible to report a payment issue?,payment_issue,PAYMENT,BI
I want help solving issues with payments,payment_issue,PAYMENT,BM
could you help me report payment issues?,payment_issue,PAYMENT,BIMP
where could I report an issue with payments?,payment_issue,PAYMENT,BIMP
can you help me solving an issue with payment?,payment_issue,PAYMENT,BI
issue with payments,payment_issue,PAYMENT,BKM
help me to solve issues with payment,payment_issue,PAYMENT,BM
help solving a payment issue,payment_issue,PAYMENT,B
I don't know how I could report payment issues,payment_issue,PAYMENT,BMP
help to solve payment issues,payment_issue,PAYMENT,BM
I need help to solve a payment issue,payment_issue,PAYMENT,B
I don't know how I can report a payment issue,payment_issue,PAYMENT,B
can you help me solve issues with payment?,payment_issue,PAYMENT,BIM
I am trying to report payment issues,payment_issue,PAYMENT,BM
I want assistance to solve payment issues,payment_issue,PAYMENT,BM
help me report issues with payment,payment_issue,PAYMENT,BM
I don't know how I can report an issue with payments,payment_issue,PAYMENT,BM
help me to report a payment issue,payment_issue,PAYMENT,B
I have to report a payment issue,payment_issue,PAYMENT,B
I am trying to report issues with payment,payment_issue,PAYMENT,BM
can you help me to solve issues with payment?,payment_issue,PAYMENT,BIM
help me solving issues with payments,payment_issue,PAYMENT,BM
is it possible to track my order?,track_order,ORDER,BI
help checking the status of my order,track_order,ORDER,B
I have to track an order,track_order,ORDER,B
how do I track the last order?,track_order,ORDER,BI
I try to track an order,track_order,ORDER,B
help tracking my order,track_order,ORDER,B
I do not know how I can track an order,track_order,ORDER,BE
how can I check the status of my order?,track_order,ORDER,BI
I need to track my last order,track_order,ORDER,B
I have got to track the last order,track_order,ORDER,B
would it be possible to track my last order?,track_order,ORDER,BIP
check the status of my order,track_order,ORDER,B
I need to track my order,track_order,ORDER,B
I want to track an order,track_order,ORDER,B
ETA of order,track_order,ORDER,B
what do I need to do to track my order?,track_order,ORDER,BI
when will my order arrive,track_order,ORDER,B
could you help me to check the status of my order?,track_order,ORDER,BIP
can you help me to track the last order?,track_order,ORDER,BI
I would like to track an order,track_order,ORDER,BP
I want help to check the status of my order,track_order,ORDER,B
I don't know how I can track my last order,track_order,ORDER,B
I need assistance checking my order ETA,track_order,ORDER,B
I cannot check the status of my order,track_order,ORDER,BE
could I check the status of my order?,track_order,ORDER,BIP
I don't know what to do to track my last order,track_order,ORDER,B
where could I track the last order?,track_order,ORDER,BIP
I need to check my order ETA,track_order,ORDER,B
I want assistance tracking the last order,track_order,ORDER,B
could I track the last order?,track_order,ORDER,BIP
checking ETA of order,track_order,ORDER,B
assistance to check the status of the refund,track_refund,REFUND,B
could I check the status of my refund?,track_refund,REFUND,BIP
what do I have to do to check the refund status?,track_refund,REFUND,BI
I can't check if there is anything new on my refund,track_refund,REFUND,B
help me to check the status of my refund,track_refund,REFUND,B
could you show me the refund status?,track_refund,REFUND,BIP
I don't know how I can check the refund status,track_refund,REFUND,B
assistance to check if there is any updates on my refund,track_refund,REFUND,BM
would it be possible to check the status of the refund?,track_refund,REFUND,BIP
help me check my refund status,track_refund,REFUND,B
I want help checking if there is anything new on my refund,track_refund,REFUND,B
how could I check my refund status?,track_refund,REFUND,BIP
I need assistance to check my refund status,track_refund,REFUND,B
how can I check the status of my refund?,track_refund,REFUND,BI
I want assistance checking my refund status,track_refund,REFUND,B
help checking if there is anything wrong with my refund,track_refund,REFUND,B
how can I check the refund status?,track_refund,REFUND,BI
I would like to check the refund status,track_refund,REFUND,BP
I try to check my refund status,track_refund,REFUND,B
I do not know what to do to track the refund,track_refund,REFUND,BE
I need help checking if there is any updates on my refund,track_refund,REFUND,BM
I want assistance checking the status of my refund,track_refund,REFUND,B
I do not know how I could check the status of my refund,track_refund,REFUND,BEP
I am trying to check the status of my refund,track_refund,REFUND,B
help checking the refund status,track_refund,REFUND,B
will you show me my refund status?,track_refund,REFUND,BIP
help to track the refund,track_refund,REFUND,B
I am trying to track the refund,track_refund,REFUND,B
